id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,station_id
KrvHV0kJlf8XzVChZHSzJA,mr-gao-hamilton,Mr  Gao,https://s3-media3.fl.yelpcdn.com/bphoto/COI8HSBajrMfHkmPRNoM0w/o.jpg,False,https://www.yelp.com/biz/mr-gao-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,35,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.3,[],$$,+12893091363,+1 289-309-1363,310.01543996559036,43.2574011222949,-79.9281700470045,1561 Main Street W,,,Hamilton,L8S 1E6,CA,ON,"['1561 Main Street W', 'Hamilton, ON L8S 1E6', 'Canada']",hub_540
3xgdFtqUHcRosOnu3-B6fg,maccheroni-cucina-alfresco-hamilton,Maccheroni Cucina Alfresco,https://s3-media2.fl.yelpcdn.com/bphoto/BLpSFvIdLZimwuAMjDDwjg/o.jpg,False,https://www.yelp.com/biz/maccheroni-cucina-alfresco-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,11,"[{'alias': 'italian', 'title': 'Italian'}]",3.8,[],$$,+19055276422,+1 905-527-6422,233.99595238992853,43.257795,-79.926349,1560 Main Street W,,,Hamilton,L8S 1E7,CA,ON,"['1560 Main Street W', 'Hamilton, ON L8S 1E7', 'Canada']",hub_540
6q9ODD89p-EntewcOD8J-Q,boston-pizza-hamilton,Boston Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/2AJgHoHj9FIsz10Sk6O3Zw/o.jpg,False,https://www.yelp.com/biz/boston-pizza-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,22,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.4,[],$$,+19057771919,+1 905-777-1919,301.992257813056,43.257349181178,-79.927749413236,1563 Main Street W,,,Hamilton,L8S 1E6,CA,ON,"['1563 Main Street W', 'Hamilton, ON L8S 1E6', 'Canada']",hub_540
o-WonoWNOF1sxHBJMtHvnQ,dough-box-hamilton,Dough Box,https://s3-media2.fl.yelpcdn.com/bphoto/ad0Nxbi-dreav_DHPTNB6A/o.jpg,False,https://www.yelp.com/biz/dough-box-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,22,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,[],,+12893892050,+1 289-389-2050,344.2338085303593,43.2574167,-79.9239487,1457 Main Street W,,,Hamilton,L8S 1C9,CA,ON,"['1457 Main Street W', 'Hamilton, ON L8S 1C9', 'Canada']",hub_540
c544C_J-M3A30TPeOYXPjg,the-phoenix-bar-and-grill-hamilton,The Phoenix Bar & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/DqI7k4BPRzwmmCrcDHfUQw/o.jpg,False,https://www.yelp.com/biz/the-phoenix-bar-and-grill-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,19,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.8,[],$$,+19055259140,+1 905-525-9140,537.7174955378047,43.2627741179557,-79.9211375312163,1280 Main Street W,,,Hamilton,L8S 4K1,CA,ON,"['1280 Main Street W', 'Hamilton, ON L8S 4K1', 'Canada']",hub_540
TTg2WCLJ6RVbObGieP3eAw,joya-sushi-hamilton,Joya Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/qZF4Js3hQuGsVYN6q6-B5g/o.jpg,False,https://www.yelp.com/biz/joya-sushi-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,41,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]",3.8,[],$$,+19055251114,+1 905-525-1114,748.6791204614756,43.25663137913681,-79.93456139590667,1685 Main Street W,Unit 150,,Hamilton,L8S 1G5,CA,ON,"['1685 Main Street W', 'Unit 150', 'Hamilton, ON L8S 1G5', 'Canada']",hub_540
RXu4WFIAUdPovJZYKh-n4w,tally-ho-hamilton,Tally Ho,https://s3-media3.fl.yelpcdn.com/bphoto/NYWnJcoChIDxFQMxh5GE8Q/o.jpg,False,https://www.yelp.com/biz/tally-ho-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,26,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.9,[],$$,+19055296043,+1 905-529-6043,306.5653459345689,43.257772597069525,-79.92407840204181,1536 Main Street W,,,Hamilton,L8S 1E4,CA,ON,"['1536 Main Street W', 'Hamilton, ON L8S 1E4', 'Canada']",hub_540
VUHvOv0gV4S4TbfHK3AmtQ,pinks-hamilton-2,Pinks,https://s3-media1.fl.yelpcdn.com/bphoto/YLKj3oZnn12DxCcZB4sokA/o.jpg,False,https://www.yelp.com/biz/pinks-hamilton-2?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,21,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,[],$,+19053174657,+1 905-317-4657,673.3149879830507,43.25750562,-79.91884597,1335 Main Street W,,,Hamilton,L8S 1C6,CA,ON,"['1335 Main Street W', 'Hamilton, ON L8S 1C6', 'Canada']",hub_540
1H6IvJ8ZMG4nm1SWcbMygQ,hazel-tea-and-dessert-house-hamilton-2,Hazel Tea & Dessert House,https://s3-media4.fl.yelpcdn.com/bphoto/YHxZM1bnqci_dxB6MRQGgw/o.jpg,False,https://www.yelp.com/biz/hazel-tea-and-dessert-house-hamilton-2?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,22,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.1,[],$,+19055277361,+1 905-527-7361,686.3857828531203,43.25793,-79.9344799,1686 Main Street West,Unit 5,,Hamilton,L8S 0A2,CA,ON,"['1686 Main Street West', 'Unit 5', 'Hamilton, ON L8S 0A2', 'Canada']",hub_540
UOxwwYeyPTSAw7qD_uFufw,west-end-diner-hamilton,West End Diner,https://s3-media1.fl.yelpcdn.com/bphoto/omRnL5GcTZlbNKoze5-Qiw/o.jpg,False,https://www.yelp.com/biz/west-end-diner-hamilton?adjust_creative=hjwIzYrSysGsBWZjGhcPvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hjwIzYrSysGsBWZjGhcPvQ,62,"[{'alias': 'diners', 'title': 'Diners'}]",3.8,[],$$,+12893961766,+1 289-396-1766,1245.3172800645098,43.25276,-79.93857,1811 Main Street W,,,Hamilton,L8S 1H1,CA,ON,"['1811 Main Street W', 'Hamilton, ON L8S 1H1', 'Canada']",hub_540
